#ID field z z_ref z_16 z_84 log_mstar_16 log_mstar_50 log_mstar_84 log_SFR_10_16 log_SFR_10_50 log_SFR_10_84 log_SFR_100_16 log_SFR_100_50 log_SFR_100_84 AV_16 AV_50 AV_84 MWA_16 MWA_50 MWA_84
538 goodss 3.8400 "phot" 3.5210 4.1610 8.130 8.249 8.361 -0.547 -0.353 -0.139 -0.559 -0.361 -0.173 0.050 0.125 0.261 0.116 0.255 0.542
698 goodss 5.2700 "phot" 4.8790 5.5340 8.311 8.425 8.542 -2.436 -0.189 0.243 -2.616 -0.316 0.107 0.056 0.171 0.327 0.095 0.180 0.325
820 goodss 5.6500 "phot" 4.0550 6.0740 7.820 7.982 8.162 -0.427 -0.277 -0.147 -0.424 -0.276 -0.136 0.025 0.069 0.143 0.061 0.117 0.256
899 goodss 3.3400 "phot" 2.8310 3.3820 7.723 7.809 7.911 -0.414 -0.329 -0.254 -0.430 -0.339 -0.243 0.022 0.057 0.104 0.060 0.090 0.140
933 goodss 4.6500 "phot" 3.9310 4.7740 7.779 7.929 8.055 -0.544 -0.399 -0.238 -0.557 -0.420 -0.246 0.057 0.130 0.257 0.072 0.142 0.260
962 goodss 2.2600 "phot" 1.8740 2.3690 8.402 8.459 8.524 0.197 0.330 0.444 0.176 0.298 0.434 0.126 0.192 0.276 0.057 0.089 0.143
997 goodss 2.5900 "phot" 2.3380 2.6990 9.957 10.018 10.069 1.304 1.536 1.730 1.302 1.536 1.735 0.335 0.549 0.695 0.115 0.206 0.404
998 goodss 3.4800 "phot" 3.3170 3.8120 8.778 8.845 8.892 0.249 0.373 0.555 0.225 0.362 0.521 0.093 0.162 0.268 0.103 0.200 0.287
1060 goodss 3.0900 "phot" 0.9140 3.4460 7.924 8.060 8.180 -0.526 -0.289 -0.108 -0.522 -0.310 -0.118 0.185 0.344 0.503 0.071 0.159 0.343
1083 goodss 2.7700 "phot" 2.0020 2.9360 7.931 7.995 8.060 -0.705 -0.607 -0.486 -0.714 -0.617 -0.499 0.024 0.070 0.150 0.190 0.288 0.431
1092 goodss 4.8500 "phot" 4.5420 5.4600 8.285 8.412 8.533 -0.414 -0.221 0.019 -0.485 -0.248 -0.008 0.082 0.206 0.374 0.127 0.240 0.450
1163 goodss 3.4900 "phot" 3.3400 3.6450 8.480 8.549 8.603 0.189 0.282 0.377 0.181 0.272 0.368 0.043 0.080 0.137 0.086 0.122 0.169
1247 goodss 6.0400 "phot" 5.7590 6.2830 7.964 8.081 8.206 0.017 0.103 0.179 -0.156 0.097 0.240 0.031 0.074 0.137 0.028 0.046 0.078
1271 goodss 6.6200 "phot" 1.4180 6.6840 8.141 8.274 8.403 0.015 0.100 0.210 -0.036 0.082 0.215 0.021 0.059 0.141 0.051 0.097 0.159
1280 goodss 2.6400 "phot" 2.4620 2.7410 9.304 9.360 9.417 0.732 0.811 0.897 0.721 0.797 0.874 0.124 0.165 0.220 0.174 0.244 0.328
1281 goodss 3.7700 "phot" 1.8850 3.8310 8.152 8.237 8.328 0.099 0.189 0.264 0.024 0.175 0.294 0.067 0.134 0.208 0.045 0.067 0.108
1357 goodss 2.5500 "phot" 0.1350 2.6240 7.540 7.632 7.739 -0.849 -0.656 -0.477 -0.862 -0.660 -0.493 0.069 0.165 0.317 0.069 0.134 0.272
1362 goodss 2.0000 "phot" 1.7610 2.2220 7.627 7.714 7.796 -0.845 -0.704 -0.527 -0.842 -0.702 -0.532 0.057 0.126 0.236 0.097 0.195 0.306
1363 goodss 2.3000 "phot" 1.9900 2.3030 7.783 7.876 7.948 -0.151 -0.057 0.005 -0.267 -0.088 0.057 0.189 0.272 0.354 0.025 0.034 0.048
1368 goodss 5.8200 "phot" 5.6530 6.3290 8.188 8.360 8.525 -0.232 -0.117 0.031 -0.241 -0.125 0.020 0.031 0.091 0.188 0.102 0.205 0.378
1369 goodss 2.2800 "phot" 2.0210 2.5240 7.990 8.098 8.187 -0.576 -0.426 -0.232 -0.587 -0.434 -0.234 0.147 0.254 0.370 0.116 0.239 0.425
1435 goodss 3.0300 "phot" 2.8370 3.3210 8.171 8.232 8.280 -0.299 -0.206 -0.101 -0.306 -0.209 -0.095 0.026 0.077 0.145 0.130 0.190 0.266
1439 goodss 3.2100 "phot" 2.8100 3.3460 7.900 7.991 8.098 -0.397 -0.228 -0.094 -0.409 -0.247 -0.105 0.105 0.189 0.292 0.063 0.111 0.211
1441 goodss 2.6300 "phot" 2.5130 2.7690 9.172 9.216 9.268 1.024 1.139 1.219 1.017 1.130 1.228 0.228 0.303 0.380 0.056 0.076 0.112
